date,Green,Yellow,Red
1997-09-20,12.0,1.1666666666666667,10.833333333333334
1997-09-21,11.0,1.0,12.0
1997-09-22,18.833333333333332,,5.166666666666667
1997-09-23,19.333333333333332,,4.666666666666667
1997-09-24,18.833333333333332,0.5,4.666666666666667
1997-09-25,21.333333333333332,0.8333333333333334,1.8333333333333333
1997-09-26,18.833333333333332,0.5,4.666666666666667
1997-09-27,18.833333333333332,4.333333333333333,0.8333333333333334
1997-09-28,13.333333333333334,3.5,7.166666666666667
1997-09-29,20.166666666666668,0.8333333333333334,3.0
1997-09-30,24.0,,
1997-10-01,23.666666666666668,0.3333333333333333,
1997-10-02,22.0,2.0,
1997-10-03,7.0,11.333333333333334,5.666666666666667
1997-10-04,6.833333333333333,8.666666666666666,8.5
1997-10-05,2.1666666666666665,6.5,15.333333333333334
1997-10-06,15.666666666666666,1.3333333333333333,7.0
1997-10-07,6.0,5.0,13.0
1997-10-08,8.833333333333334,4.333333333333333,10.833333333333334
1997-10-09,7.0,1.6666666666666667,15.333333333333334
1997-10-10,9.5,9.0,5.5
1997-10-11,12.5,4.833333333333333,6.666666666666667
1997-10-12,8.666666666666666,4.833333333333333,10.5
1997-10-13,18.5,3.6666666666666665,1.8333333333333333
1997-10-14,23.333333333333332,0.6666666666666666,
1997-10-15,24.0,,
1997-10-16,19.833333333333332,4.166666666666667,
1997-10-17,16.666666666666668,3.1666666666666665,4.166666666666667
1997-10-18,19.833333333333332,3.5,0.6666666666666666
1997-10-19,16.0,3.0,5.0
1997-10-20,6.0,5.5,12.5
1997-10-21,18.666666666666668,2.8333333333333335,2.5
1997-10-22,7.333333333333333,7.0,9.666666666666666
1997-10-23,20.833333333333332,1.3333333333333333,1.8333333333333333
1997-10-24,22.333333333333332,0.3333333333333333,1.3333333333333333
1997-10-25,15.333333333333334,3.1666666666666665,5.5
1997-10-26,22.333333333333332,1.1666666666666667,0.5
1997-10-27,14.166666666666666,9.0,0.8333333333333334
1997-10-28,15.833333333333334,6.333333333333333,1.8333333333333333
1997-10-29,24.0,,
1997-10-30,24.0,,
1997-10-31,11.5,4.166666666666667,8.333333333333334
1997-11-01,15.0,0.16666666666666666,8.833333333333334
1997-11-02,14.0,0.8333333333333334,9.166666666666666
1997-11-03,24.0,,
1997-11-04,18.666666666666668,1.8333333333333333,3.5
1997-11-05,21.333333333333332,,2.6666666666666665
1997-11-06,22.333333333333332,0.6666666666666666,1.0
1997-11-07,8.333333333333334,7.0,8.666666666666666
1997-11-10,18.0,5.666666666666667,0.3333333333333333
1997-11-11,15.333333333333334,8.666666666666666,
1997-11-12,20.5,1.8333333333333333,1.6666666666666667
1997-11-13,21.0,0.6666666666666666,2.3333333333333335
1997-11-14,24.0,,
1997-11-15,24.0,,
1997-11-16,22.833333333333332,0.3333333333333333,0.8333333333333334
1997-11-17,21.0,1.8333333333333333,1.1666666666666667
1997-11-18,18.833333333333332,2.1666666666666665,3.0
1997-11-19,3.1666666666666665,5.0,15.833333333333334
1997-11-20,2.8333333333333335,5.0,16.166666666666668
1997-11-21,12.0,6.166666666666667,5.833333333333333
1997-11-22,23.333333333333332,0.3333333333333333,0.3333333333333333
1997-11-23,24.0,,
1997-11-24,20.666666666666668,1.1666666666666667,2.1666666666666665
1997-11-25,11.166666666666666,2.1666666666666665,10.666666666666666
1997-11-26,19.666666666666668,0.5,3.8333333333333335
1997-11-27,24.0,,
1997-11-28,18.833333333333332,0.3333333333333333,4.833333333333333
1997-11-29,16.666666666666668,1.3333333333333333,6.0
1997-11-30,20.5,0.8333333333333334,2.6666666666666665
1997-12-01,22.5,0.3333333333333333,1.1666666666666667
1997-12-02,15.833333333333334,2.8333333333333335,5.333333333333333
1997-12-03,8.666666666666666,7.833333333333333,7.5
1997-12-04,3.1666666666666665,6.0,14.833333333333334
1997-12-05,2.5,8.833333333333334,12.666666666666666
1997-12-06,4.0,6.0,14.0
1997-12-07,3.6666666666666665,6.833333333333333,13.5
1997-12-08,24.0,,
1997-12-09,20.5,1.8333333333333333,1.6666666666666667
1997-12-10,24.0,,
1997-12-11,10.833333333333334,11.333333333333334,1.8333333333333333
1997-12-12,16.166666666666668,6.5,1.3333333333333333
1997-12-13,24.0,,
1997-12-14,24.0,,
1997-12-15,24.0,,
1997-12-16,24.0,,
1997-12-17,15.666666666666666,5.666666666666667,2.6666666666666665
1997-12-18,4.5,2.3333333333333335,17.166666666666668
1997-12-19,13.5,4.833333333333333,5.666666666666667
1997-12-20,3.0,5.0,16.0
1997-12-21,20.666666666666668,2.6666666666666665,0.6666666666666666
1997-12-22,23.333333333333332,,0.6666666666666666
1997-12-23,15.666666666666666,5.166666666666667,3.1666666666666665
1997-12-24,16.0,4.0,4.0
1997-12-25,20.166666666666668,2.1666666666666665,1.6666666666666667
1997-12-26,24.0,,
1997-12-27,15.666666666666666,7.666666666666667,0.6666666666666666
1997-12-28,24.0,,
1997-12-29,22.833333333333332,1.1666666666666667,
1997-12-30,22.5,,1.5
1997-12-31,21.333333333333332,0.5,2.1666666666666665
